Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 kernelbase.py:456(_publish_execute_input)
       19    0.001    0.000    0.001    0.000 poll.py:77(poll)
       16    0.000    0.000    0.001    0.000 iostream.py:209(send_multipart)
        6    0.000    0.000    0.001    0.000 _parser.py:205(split)
        4    0.000    0.000    0.001    0.000 zmqstream.py:495(_handle_send)
        6    0.000    0.000    0.001    0.000 kernelbase.py:367(dispatch_queue)
       78    0.000    0.000    0.001    0.000 _parser.py:195(__next__)
        4    0.000    0.000    0.001    0.000 socket.py:493(send_multipart)
       78    0.001    0.000    0.001    0.000 _parser.py:83(get_token)
       20    0.000    0.000    0.001    0.000 session.py:567(msg)
       40    0.000    0.000    0.001    0.000 traitlets.py:1216(_notify_trait)
        6    0.000    0.000    0.001    0.000 zmqshell.py:573(set_parent)
       34    0.000    0.000    0.001    0.000 attrsettr.py:38(__getattr__)
        7    0.000    0.000    0.001    0.000 zmqstream.py:452(_handle_events)
        2    0.000    0.000    0.001    0.001 manager.py:102(comm_msg)
        6    0.000    0.000    0.001    0.000 zmqstream.py:477(_handle_recv)
        2    0.000    0.000    0.001    0.000 frontendcomm.py:226(handle_msg)
       27    0.000    0.000    0.001    0.000 zmqstream.py:540(_update_handler)
        2    0.000    0.000    0.001    0.000 commbase.py:298(_comm_message)
       40    0.000    0.000    0.001    0.000 traitlets.py:1225(notify_change)
        2    0.000    0.000    0.001    0.000 commbase.py:335(_handle_remote_call)
       40    0.000    0.000    0.001    0.000 traitlets.py:1229(_notify_observers)
       23    0.000    0.000    0.001    0.000 zmqstream.py:517(_rebuild_io_state)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        2    0.001    0.000    0.001    0.000 autoreload.py:533(post_execute_hook)
        2    0.000    0.000    0.001    0.000 commbase.py:358(_set_call_return_value)
        2    0.000    0.000    0.001    0.000 commbase.py:217(_send_message)
      354    0.000    0.000    0.001    0.000 threading.py:1017(_wait_for_tstate_lock)
        2    0.000    0.000    0.001    0.000 comm.py:120(send)
        2    0.000    0.000    0.001    0.000 comm.py:61(_publish_msg)
        3    0.000    0.000    0.001    0.000 asyncio.py:187(_handle_events)
     4786    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
       20    0.000    0.000    0.001    0.000 session.py:564(msg_header)
       42    0.000    0.000    0.001    0.000 jsonutil.py:84(date_default)
      715    0.001    0.000    0.001    0.000 traitlets.py:533(get)
        3    0.000    0.000    0.001    0.000 eventloops.py:26(_notify_stream_qt)
       12    0.000    0.000    0.001    0.000 _parser.py:881(_parse_numeric_token)
        4    0.000    0.000    0.001    0.000 prefilter.py:314(prefilter_lines)
       24    0.000    0.000    0.001    0.000 session.py:84(<lambda>)
        4    0.000    0.000    0.001    0.000 prefilter.py:271(prefilter_line)
      200    0.000    0.000    0.001    0.000 iostream.py:310(_is_master_process)
       24    0.000    0.000    0.001    0.000 jsonapi.py:47(loads)
       34    0.001    0.000    0.001    0.000 attrsettr.py:61(_get_attr_opt)
       54    0.000    0.000    0.001    0.000 traitlets.py:606(_validate)
      168    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       40    0.000    0.000    0.001    0.000 py3compat.py:19(encode)
       28    0.000    0.000    0.001    0.000 gen.py:797(handle_yield)
       99    0.001    0.000    0.001    0.000 four_ws_rover_dynamic_simulator_full_par.py:2837(setSteerTorques)
     36/8    0.000    0.000    0.001    0.000 jsonutil.py:109(json_clean)
       10    0.000    0.000    0.001    0.000 zmqstream.py:438(_run_callback)
      122    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.001    0.000 zmqstream.py:267(send_multipart)
        6    0.000    0.000    0.000    0.000 kernelbase.py:395(schedule_dispatch)
        6    0.000    0.000    0.000    0.000 kernelbase.py:473(set_parent)
       42    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
       60    0.000    0.000    0.000    0.000 tokenize.py:98(_compile)
        2    0.000    0.000    0.000    0.000 codeop.py:111(compile_command)
       24    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 codeop.py:69(_maybe_compile)
       43    0.000    0.000    0.000    0.000 base_events.py:709(call_soon)
        6    0.000    0.000    0.000    0.000 zmqshell.py:73(set_parent)
       26    0.000    0.000    0.000    0.000 hmac.py:130(hexdigest)
        6    0.000    0.000    0.000    0.000 socket.py:540(recv_multipart)
        4    0.000    0.000    0.000    0.000 async_helpers.py:141(_should_be_async)
      338    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
       12    0.000    0.000    0.000    0.000 signal.py:45(signal)
